Country,Region,Estimate(IMF),Year(IMF),Estimate(UN),Year(UN),Estimate(World Bank),Year(World Bank)
United States,Americas,22675271.0,2021,21433226,2019,20936600.0,2020
China,Asia,16642318.0,[n 2]2021,14342933,[n 3]2019,14722731.0,2020
Japan,Asia,5378136.0,2021,5082465,2019,4975415.0,2020
Germany,Europe,4319286.0,2021,3861123,2019,3806060.0,2020
United Kingdom,Europe,3124650.0,2021,2826441,2019,2707744.0,2020
India,Asia,3049704.0,2021,2891582,2019,2622984.0,2020
France,Europe,2938271.0,2021,2715518,2019,2603004.0,2020
Italy,Europe,2106287.0,2021,2003576,2019,1886445.0,2020
Canada,Americas,1883487.0,2021,1741496,2019,1643408.0,2020
South Korea,Asia,1806707.0,2021,1646539,2019,1630525.0,2020
Russia,Europe,1710734.0,2021,1692930,2019,1483498.0,2020
Australia,Oceania,1617543.0,2021,1380207,2019,1330901.0,2020
Brazil,Americas,1491772.0,2021,1847795,2019,1444733.0,2020
Spain,Europe,1461552.0,2021,1393490,2019,1281199.0,2020
Mexico,Americas,1192480.0,2021,1256440,2019,1076163.0,2020
Indonesia,Asia,1158783.0,2021,1119190,2019,1058424.0,2020
Netherlands,Europe,1012598.0,2021,907050,2019,912242.0,2020
Switzerland,Europe,824734.0,2021,731425,2019,747969.0,2020
Saudi Arabia,Asia,804921.0,2021,792966,2019,700118.0,2020
Turkey,Asia,794530.0,2021,761425,2019,720101.0,2020
Taiwan,Asia,759104.0,[n 4]2021,669034,2019,668500.0,2020
Poland,Europe,642121.0,2021,595862,2019,594165.0,2020
Sweden,Europe,625948.0,2021,530883,2019,537610.0,2020
Belgium,Europe,578996.0,2021,533097,2019,515333.0,2020
Thailand,Asia,538735.0,2021,542016,2019,501795.0,2020
Iran,Asia,682859.0,2021,603779,2019,191718.0,2020
Nigeria,Africa,514049.0,2021,474516,2019,432294.0,2020
Austria,Europe,481796.0,2021,445075,2019,428965.0,2020
